"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"das-basic","PASS","Planned Capacity","1.39","1.39","0","0","PASS"
"das-basic","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"das-basic","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"das-basic","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"das-retention-14","PASS","Planned Capacity","1.62","1.62","0","0","PASS"
"das-retention-14","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"das-retention-14","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"das-retention-14","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-moveonly","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-moveonly","PASS","Planned Capacity Tier","0.87","0.87","0","0.01","PASS"
"sobr-moveonly","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-moveonly","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-moveonly","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-moveonly","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-copymove","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-copymove","PASS","Planned Capacity Tier","1.33","1.33","0","0","PASS"
"sobr-copymove","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-copymove","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-copymove","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-copymove","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"das-gfs","PASS","Planned Capacity","1.46","1.46","0","0","PASS"
"das-gfs","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"das-gfs","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"das-gfs","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-gfs-archive","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-gfs-archive","PASS","Planned Capacity Tier","2.26","2.26","0","0","PASS"
"sobr-gfs-archive","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-gfs-archive","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-gfs-archive","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-gfs-archive","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"das-monthly-2-small-r7","PASS","Planned Capacity","1.38","1.38","0","0","PASS"
"das-monthly-2-small-r7","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"das-monthly-2-small-r7","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"das-monthly-2-small-r7","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"das-yearly-2-small-r7","PASS","Planned Capacity","2.52","2.52","0","0","PASS"
"das-yearly-2-small-r7","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"das-yearly-2-small-r7","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"das-yearly-2-small-r7","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"das-monthly-2-large-r7","PASS","Planned Capacity","22.33","22.33","0","0","PASS"
"das-monthly-2-large-r7","PASS","File Type Size - Full","6.66","6.66","0","0","PASS"
"das-monthly-2-large-r7","PASS","File Type Size - Incremental","0.67","0.67","0","0","PASS"
"das-monthly-2-large-r7","PASS","File Type Size - SyntheticFull","0.67","0.67","0","0","PASS"
"das-yearly-2-large-r7","PASS","Planned Capacity","42.31","42.31","0","0","PASS"
"das-yearly-2-large-r7","PASS","File Type Size - Full","6.66","6.66","0","0","PASS"
"das-yearly-2-large-r7","PASS","File Type Size - Incremental","0.67","0.67","0","0","PASS"
"das-yearly-2-large-r7","PASS","File Type Size - SyntheticFull","0.67","0.67","0","0","PASS"
"das-mixed-2w1m-small-r7","PASS","Planned Capacity","1.23","1.23","0","0","PASS"
