"id","name","forecastYears","repositoryType","retentionDays","sourceDataTB","annualGrowthRatePct","dailyChangeRatePct","gfsWeekly","gfsMonthly","gfsYearly","copyEnabled","moveEnabled","hasArchiveTier","offloadAfterDays","archiveAfterDays","plannedCapacityTB","plannedPerformanceTierTB","plannedCapacityTierTB","plannedArchiveTierTB","fileTypeFullTB","fileTypeIncrementalTB","fileTypeSyntheticFullTB"
"das-basic","DAS Repository - Basic Operation",,"DAS","7","1","10","5","0","0","0","False","False","False","7","14","1.3902",,,,"0.6655","0.0333","0.0333"
"das-retention-14","DAS Repository - Retention 14 Days",,"DAS","14","1","10","5","0","0","0","False","False","False","7","14","1.6231",,,,"0.6655","0.0333","0.0333"
"sobr-moveonly","SOBR Move-Only - Basic Operation",,"SOBR","14","1","10","5","0","0","0","False","True","False","7","14","2.2553","1.3902","0.8652","0","0.6655","0.0333","0.0333"
"sobr-copymove","SOBR Copy+Move - Basic Operation",,"SOBR","21","1","10","5","0","0","0","True","True","True","7","14","2.7212","1.3902","1.331","0","0.6655","0.0333","0.0333"
"das-gfs","DAS with GFS - Basic Operation",,"DAS","7","1","10","5","2","0","0","False","False","False","7","14","1.4565",,,,"0.6655","0.0333","0.0333"
"sobr-gfs-archive","SOBR Move-Only with GFS and Archive - Basic Operation",,"SOBR","60","1","10","5","4","0","0","False","True","True","14","30","3.6529","1.3902","2.2627","0","0.6655","0.0333","0.0333"
"das-monthly-2-small-r7","DAS with 2 Monthly GFS - Small Case",,"DAS","7","1","0","5","0","2","0","False","False","False","7","14","1.375",,,,"0.5","0.025","0.025"
"das-yearly-2-small-r7","DAS with 2 Yearly GFS - Small Case",,"DAS","7","1","0","5","0","0","2","False","False","False","7","14","2.525",,,,"0.5","0.025","0.025"
"das-monthly-2-large-r7","DAS with 2 Monthly GFS - Large Case",,"DAS","7","13.32","0","10","0","2","0","False","False","False","7","14","22.3296",,,,"6.66","0.666","0.666"
"das-yearly-2-large-r7","DAS with 2 Yearly GFS - Large Case",,"DAS","7","13.32","0","10","0","0","2","False","False","False","7","14","42.3096",,,,"6.66","0.666","0.666"
"das-mixed-2w1m-small-r7","DAS with 2W+1M Mixed GFS - Small Case",,"DAS","7","1","0","5","2","1","0","False","False","False","7","14","1.225",,,,"0.5","0.025","0.025"
"das-mixed-2w1y-small-r7","DAS with 2W+1Y Mixed GFS - Small Case",,"DAS","7","1","0","5","2","0","1","False","False","False","7","14","1.625",,,,"0.5","0.025","0.025"
"das-mixed-1m1y-small-r7","DAS with 1M+1Y Mixed GFS - Small Case",,"DAS","7","1","0","5","0","1","1","False","False","False","7","14","1.675",,,,"0.5","0.025","0.025"
"das-mixed-2w1m1y-small-r7","DAS with 2W+1M+1Y Mixed GFS - Small Case",,"DAS","7","1","0","5","2","1","1","False","False","False","7","14","1.675",,,,"0.5","0.025","0.025"
"das-mixed-2w1m1y-large-r7","DAS with 2W+1M+1Y Mixed GFS - Large Case",,"DAS","7","13.32","0","10","2","1","1","False","False","False","7","14","30.3216",,,,"6.66","0.666","0.666"
"sobr-mixed-2w1m1y-small-r60","SOBR Move-Only + Archive with 2W+1M+1Y Mixed GFS - Small Case",,"SOBR","60","1","10","5","2","1","1","False","True","True","14","30","4.5905","1.3902","2.5621","0.6382","0.6655","0.0333","0.0333"
"sobr-mixed-1m1y-small-r60","SOBR Move-Only + Archive with 0W+1M+1Y Mixed GFS - Small Case",,"SOBR","60","1","10","5","0","1","1","False","True","True","14","30","4.5905","1.3902","2.5621","0.6382","0.6655","0.0333","0.0333"
"sobr-copyonly-archive-gating","SOBR Copy-Only Archive Gating",,"SOBR","30","1","10","5","4","0","0","True","False","True","14","7","3.187","1.3902","1.7969","0","0.6655","0.0333","0.0333"
"sobr-matrix-move-lt-retention","SOBR Matrix - Move Before Retention",,"SOBR","21","1","10","5","0","0","0","False","True","False","7","30","2.4882","1.3902","1.0981","0","0.6655","0.0333","0.0333"
"sobr-matrix-move-eq-retention","SOBR Matrix - Move Equals Retention",,"SOBR","14","1","10","5","0","0","0","False","True","False","14","30","1.3902","1.3902","0","0","0.6655","0.0333","0.0333"
"sobr-matrix-move-gt-retention","SOBR Matrix - Move After Retention",,"SOBR","14","1","10","5","0","0","0","False","True","False","21","30","1.3902","1.3902","0","0","0.6655","0.0333","0.0333"
"sobr-matrix-move-zero","SOBR Matrix - Immediate Move On Seal",,"SOBR","14","1","10","5","0","0","0","False","True","False","0","30","2.4882","1.3902","1.0981","0","0.6655","0.0333","0.0333"
"lb-das-retention-count","DAS retention count boundary",,"DAS","7","1","0","5","0","0","0","False","False","False","7","14","1.175",,,,"0.5","0.025","0.025"
"lb-das-sla-overrides-count","DAS SLA prevents deletion when count expired but SLA not expired",,"DAS","7","1","0","5","0","0","0","False","False","False","7","14","1.175",,,,"0.5","0.025","0.025"
"lb-das-gfs-preserves-chain","DAS GFS preserves chain past standard retention",,"DAS","7","1","0","5","2","0","0","False","False","False","7","14","1.225",,,,"0.5","0.025","0.025"
"lb-gfs-expiry-order","GFS expiry order: oldest weekly removed first",,"DAS","7","1","0","5","2","0","0","False","False","False","7","14","1.225",,,,"0.5","0.025","0.025"
"lb-gfs-monthly-boundary","Monthly GFS lands only on last Saturday of month",,"DAS","7","1","0","5","0","3","0","False","False","False","7","14","1.625",,,,"0.5","0.025","0.025"
"lb-gfs-yearly-boundary","Yearly GFS lands only on last Saturday of December",,"DAS","7","1","0","5","0","0","2","False","False","False","7","14","2.363",,,,"0.5","0.025","0.025"
"lb-gfs-stacking","GFS tags stack on same Saturday restore point",,"DAS","7","1","0","5","4","3","2","False","False","False","7","14","2.975",,,,"0.5","0.025","0.025"
"lb-sobr-offload-threshold","SOBR Move: offload fires on exact offloadAfterDays boundary",,"SOBR","14","1","0","5","0","0","0","False","True","False","7","30","1.825","1.175","0.65","0","0.5","0.025","0.025"
"lb-sobr-archive-threshold-move","SOBR Move: archive fires on exact capTierAge >= archiveAfterDays boundary",,"SOBR","60","1","0","5","4","0","0","False","True","True","7","14","3.05","1.175","1.875","0","0.5","0.025","0.025"
"lb-sobr-archive-threshold-copy","SOBR Copy: archive fires only after pointAge >= offloadAfterDays + archiveAfterDays",,"SOBR","60","1","0","5","4","0","0","True","False","True","14","7","3.225","1.175","2.05","0","0.5","0.025","0.025"
"lb-sobr-capacity-residue-after-archive","SOBR Copy: non-GFS Capacity residue pruned when GFS full archives",,"SOBR","30","1","0","5","4","0","0","True","False","True","14","7","2.525","1.175","1.35","0","0.5","0.025","0.025"
"lb-perf-prune-ordering","SOBR Move: Performance pruning cannot precede offload completion",,"SOBR","14","1","0","5","0","0","0","False","True","False","7","30","1.825","1.175","0.65","0","0.5","0.025","0.025"
"ti-das-3yr-gfs-wmy","DAS 3-year soak: W+M+Y GFS invariants every day",,"DAS","14","1","5","5","4","3","2","False","False","False","14","30","3.2449",,,,"0.5788","0.0289","0.0289"
"ti-sobr-move-3yr","SOBR Move-only 3-year soak: tier ordering invariants every day",,"SOBR","30","1","5","5","4","3","0","False","True","True","14","30","3.6395","1.2138","1.6257","0.8","0.5788","0.0289","0.0289"
"ti-sobr-copy-3yr","SOBR Copy-only 3-year soak: capacity residue and archive gate every day",,"SOBR","30","1","5","5","4","3","0","True","False","True","14","14","3.5917","1.2775","1.5107","0.8036","0.5788","0.0289","0.0289"
"ti-sobr-gfs-archive-5yr","SOBR Move W+M+Y 5-year soak: full model over extended horizon",,"SOBR","60","1","5","5","4","3","2","False","True","True","14","30","5.8085","1.2775","2.4013","2.1297","0.5788","0.0289","0.0289"
"ti-das-sla-minimum-5yr","DAS 5-year soak: SLA minimum guarantee never violated",,"DAS","14","1","5","5","4","3","2","False","False","False","14","30","3.2449",,,,"0.5788","0.0289","0.0289"
"ti-das-chain-rp-drift-3yr","DAS 3-year drift: inactive chains and RP count never accumulate",,"DAS","14","1","5","5","4","3","2","False","False","False","14","30","3.2449",,,,"0.5788","0.0289","0.0289"
"ti-sobr-move-chain-rp-drift-3yr","SOBR Move 3-year drift: inactive chains and RP count never accumulate",,"SOBR","30","1","5","5","4","3","0","False","True","True","14","30","3.6395","1.2138","1.6257","0.8","0.5788","0.0289","0.0289"
"ti-das-high-retention-drift-3yr","DAS high-retention 3-year drift: retention=30 with full GFS never accumulates",,"DAS","30","1","5","5","4","3","2","False","False","False","14","30","3.8527",,,,"0.5788","0.0289","0.0289"
"im-perf-immutability-blocks-prune","Performance immutability blocks Performance prune",,"SOBR","14","1","0","5","0","0","0","False","True","False","7","30","1.825","1.175","0.65","0","0.5","0.025","0.025"
"im-cap-immutability-blocks-deletion","Capacity immutability blocks chain deletion",,"SOBR","14","1","0","5","0","0","0","False","True","False","7","30","1.825","1.175","0.65","0","0.5","0.025","0.025"
"im-arch-immutability-blocks-deletion","Archive immutability blocks chain deletion",,"SOBR","30","1","0","5","2","0","0","False","True","True","7","14","2.35","1.175","1.175","0","0.5","0.025","0.025"
"im-gen-window-boundary","GEN window aligns to generationPeriodDays boundaries",,"SOBR","14","1","0","5","0","0","0","False","True","False","7","30","1.825","1.175","0.65","0","0.5","0.025","0.025"
"im-gen-deleteon-extended-by-gfs","GEN deleteOn extended when GFS point falls in window",,"SOBR","14","1","0","5","4","0","0","False","True","False","7","30","2.225","1.175","1.05","0","0.5","0.025","0.025"
"im-gen-state-transitions","GEN lifecycle state is monotonic: Pending ??? WaitImmutability ??? Deletable",,"SOBR","14","1","0","5","2","0","0","False","True","False","7","30","1.825","1.175","0.65","0","0.5","0.025","0.025"
"im-all-tiers-immutability","All three tier immutability locks interact correctly",,"SOBR","30","1","0","5","2","0","0","False","True","True","7","14","2.35","1.175","1.175","0","0.5","0.025","0.025"
"ix-gfs-wmy-move-archive","GFS W+M+Y ?? Move ?? Archive: cardinality and tier residency",,"SOBR","60","1","0","5","4","3","2","False","True","True","14","30","5.01","1.175","2.075","1.76","0.5","0.025","0.025"
"ix-gfs-wmy-copy-archive","GFS W+M+Y ?? Copy ?? Archive: residue and gate",,"SOBR","60","1","0","5","4","3","2","True","False","True","14","14","4.85","1.175","1.925","1.75","0.5","0.025","0.025"
"ix-gfs-wmy-copy-archive-immutability","GFS W+M+Y ?? Copy ?? Archive ?? Immutability (all 3 tiers): 3-way interaction",,"SOBR","60","1","0","5","4","3","2","True","False","True","14","14","4.85","1.175","1.925","1.75","0.5","0.025","0.025"
"ix-gfs-monthly-move-immutability","GFS Monthly ?? Move ?? Perf Immutability: GEN deleteOn vs immutability interlock",,"SOBR","30","1","0","5","0","3","0","False","True","False","7","30","2.8","1.145","1.655","0","0.5","0.025","0.025"
"ix-short-retention-long-gfs","Short retention ?? long GFS yearly: chain outlives retention by years",,"DAS","7","1","0","5","0","0","5","False","False","False","7","30","3.155",,,,"0.5","0.025","0.025"
"ix-high-gen-period","Large generationPeriodDays with GFS and immutability",,"SOBR","60","1","0","5","0","3","0","False","True","False","14","60","3.325","1.145","2.18","0","0.5","0.025","0.025"
"ix-copy-move-combo","Copy+Move mode with GFS W+M and archive",,"SOBR","30","1","0","5","4","2","0","True","True","True","7","30","2.842","1.145","1.27","0.427","0.5","0.025","0.025"
"ix-no-gfs-long-archive","SOBR Move no-GFS: archive tier should remain empty",,"SOBR","30","1","0","5","0","0","0","False","True","True","14","14","2.175","1.175","1","0","0.5","0.025","0.025"
"ix-retention-variant-r7","Retention variant retention=7 with W+M GFS",,"SOBR","7","1","0","5","4","3","0","False","True","True","7","30","2.8585","1.145","0.83","0.8835","0.5","0.025","0.025"
"ix-retention-variant-r60","Retention variant retention=60 with W+M+Y GFS",,"SOBR","60","1","0","5","4","3","2","False","True","True","14","30","5.01","1.175","2.075","1.76","0.5","0.025","0.025"
"ix-high-change-rate-drift-2yr","High change-rate adversarial: 40% daily delta over 2 years",,"DAS","14","1","0","40","4","3","1","False","False","False","14","30","7.137",,,,"0.5","0.2","0.2"
"ix-short-retention-drift-3yr","Short retention adversarial: retention=3 over 3 years",,"DAS","3","1","0","5","4","3","1","False","False","False","7","30","1.967",,,,"0.5","0.025","0.025"
"ix-policy-change-mid-run","Mid-run policy change: retention 7 ??? 30 on day 180",,"DAS","7","1","0","5","4","3","0","False","False","False","7","30","1.625",,,,"0.5","0.025","0.025"
"ix-gfs-only-policy","GFS-only policy: weekly=52 with minimal daily retention",,"DAS","1","1","0","5","52","0","0","False","False","False","7","30","26.225",,,,"0.5","0.025","0.025"
"ix-two-jobs-one-repo","Two jobs sharing one repository",,"DAS","14","1","0","5","4","2","0","False","False","False","7","30","1.55",,,,"0.5","0.025","0.025"
"od-weekly-gfs-cardinality-exact","Oracle diff: weekly GFS cardinality exact on every Saturday",,"DAS","14","1","0","5","4","0","0","False","False","False","14","30","1.65",,,,"0.5","0.025","0.025"
